%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],PT1 Differential Pressure [Pa],PT2 Differential Pressure [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm],Applied Voltage [V],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],%11/10/20219:20 AM
294.824,82193.477,0.971,10.026,48.816,51.146,-11,3917.671,-2074.149,104.223,-0.033,0.045,2.182,16.785,37.964,15.634,-7.726,-11.229,-12.976,-15.804,-16.272,-8.262,-11.985,-14.659,-15.403,-12.548,-11.077,-13.89,-14.527,
294.72,82145.234,0.971,10.009,48.637,51.119,-11,3917.671,-2074.149,-61.733,-0.033,0.046,2.182,15.377,37.964,15.42,-8.144,-12.093,-13.184,-15.271,-16.272,-8.597,-14.07,-15.292,-16.784,-14.117,-12.227,-14.823,-15.991,
294.72,82145.234,0.971,10.009,48.637,51.119,-11,3917.671,-2074.149,-61.733,-0.033,0.046,2.182,14.403,36.847,14.456,-8.457,-13.065,-13.496,-17.193,-17.021,-9.825,-13.549,-16.347,-16.253,-12.339,-10.555,-13.683,-13.851,
294.652,82108.039,0.971,10.041,48.938,51.205,-11,3917.671,-2074.149,-9.453,-0.033,0.046,2.182,16.135,37.182,14.991,-7.935,-11.013,-13.599,-16.125,-16.165,-7.927,-11.568,-14.87,-15.615,-10.98,-10.346,-13.164,-14.414,
294.652,82108.039,0.971,10.041,48.938,51.205,-11,3917.671,-2074.149,-9.453,-0.033,0.046,2.182,16.135,37.741,15.419,-7.935,-10.797,-13.288,-15.591,-16.058,-8.262,-11.568,-12.55,-17.103,-12.653,-11.391,-12.957,-14.752,
294.719,82145.75,0.971,9.998,48.532,51.463,-11,3917.671,-2074.149,-24.586,-0.033,0.045,2.182,15.161,37.071,15.527,-7.726,-11.337,-12.976,-16.232,-16.486,-7.592,-12.402,-15.081,-16.359,-11.189,-10.137,-11.609,-12.275,
294.719,82145.75,0.971,9.998,48.532,51.463,-11,3917.671,-2074.149,-24.586,-0.033,0.045,2.182,17.11,37.294,16.383,-7.517,-10.473,-12.769,-15.377,-16.272,-7.48,-12.194,-13.183,-16.147,-10.352,-9.928,-11.609,-12.725,
294.829,82198.32,0.971,10.04,48.95,51.133,-11,3917.671,-2074.149,-28.558,-0.033,0.045,2.182,16.46,37.182,15.634,-7.726,-11.445,-13.08,-15.698,-16.7,-8.82,-13.132,-14.976,-15.934,-12.13,-10.45,-13.268,-14.752,
294.829,82198.32,0.971,10.04,48.95,51.133,-11,3917.671,-2074.149,-28.558,-0.033,0.045,2.182,15.161,37.964,15.848,-7.622,-11.337,-12.873,-15.484,-16.058,-7.815,-10.63,-15.081,-15.615,-12.025,-10.346,-12.646,-13.063,
294.663,82113.984,0.971,10.022,48.756,51.086,-11,3917.671,-2074.149,104.223,-0.033,0.046,2.182,16.135,38.411,16.383,-6.369,-10.042,-12.665,-15.164,-14.773,-7.48,-13.653,-15.081,-15.615,-12.234,-10.555,-12.75,-13.626,
294.835,82201.227,0.971,10.007,48.632,51.156,-11,3917.671,-2074.149,-104.296,-0.033,0.045,2.182,15.594,37.629,15.098,-8.144,-11.877,-13.184,-16.232,-15.951,-8.485,-13.757,-16.558,-15.722,-12.757,-10.868,-13.268,-13.176,
294.727,82145.82,0.971,10.003,48.578,51.188,-11,3917.671,-2074.149,-13.075,-0.033,0.045,2.182,15.919,37.629,14.884,-7.309,-11.661,-12.561,-16.125,-15.308,-7.704,-11.568,-15.503,-16.04,-12.13,-9.614,-11.091,-11.824,
294.727,82145.82,0.971,10.003,48.578,51.188,-11,3917.671,-2074.149,-13.075,-0.033,0.045,2.182,17.435,37.071,15.527,-7.726,-11.445,-13.184,-15.911,-16.058,-8.485,-13.132,-14.765,-15.297,-10.978,-9.51,-10.262,-11.937,
294.658,82114.43,0.971,10.042,48.946,51.307,-11,3917.671,-2074.149,-104.296,-0.034,0.046,2.182,17.76,36.401,15.634,-7.935,-11.553,-13.599,-15.591,-16.379,-8.15,-9.484,-14.976,-15.934,-12.651,-11.912,-12.128,-14.189,
294.836,82201.547,0.971,10.025,48.808,51.188,-11,3917.671,-2074.149,-104.296,-0.033,0.045,2.182,15.811,37.294,15.741,-7.309,-11.229,-12.354,-15.591,-15.523,-6.699,-14.695,-15.609,-18.377,-14.01,-12.852,-14.097,-16.441,
294.836,82201.547,0.971,10.025,48.808,51.188,-11,3917.671,-2074.149,-104.296,-0.033,0.045,2.182,14.186,36.959,16.49,-8.144,-10.689,-13.288,-14.843,-15.63,-6.141,-15.216,-16.558,-18.696,-15.056,-14.628,-15.652,-18.24,
294.728,82148.984,0.971,10.032,48.779,51.367,-11,3917.671,-2074.149,-31.291,-0.033,0.046,2.182,12.345,37.741,16.383,-7.1,-10.258,-12.354,-15.057,-15.737,-6.587,-13.444,-17.296,-18.59,-14.637,-12.852,-15.341,-17.114,
294.824,82196.125,0.971,10.032,48.878,51.087,-11,3917.671,-2074.149,-104.296,-0.033,0.045,2.182,12.67,38.076,16.383,-7.204,-10.258,-11.938,-14.737,-14.666,-7.034,-11.985,-17.507,-17.74,-13.696,-11.912,-13.164,-13.511,
294.824,82196.125,0.971,10.032,48.878,51.087,-11,3917.671,-2074.149,-104.296,-0.033,0.045,2.182,14.403,38.522,16.383,-6.682,-10.473,-11.731,-14.63,-14.666,-6.922,-13.966,-15.714,-16.465,-12.128,-9.926,-11.299,-9.796,
294.833,82198.641,0.971,10.041,48.961,51.144,-11,3917.671,-2074.149,-9.985,-0.032,0.045,2.182,17.002,38.076,15.848,-6.578,-10.042,-11.004,-14.309,-14.452,-6.476,-12.09,-12.972,-16.147,-12.965,-10.553,-12.853,-12.385,
