%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],PT1 Differential Pressure [Pa],PT2 Differential Pressure [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm],Applied Voltage [V],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],%11/10/20219:55 AM
294.711,82143.039,0.971,9.942,47.989,50.579,-4,3917.671,-2074.149,104.223,-0.033,0.046,2.109,24.041,21.662,3.855,-14.722,-11.445,-7.682,-3.631,-2.89,1.118,7.204,5.283,6.492,-14.219,-18.393,-23.322,-27.703,
294.682,82126.703,0.971,9.947,48.031,50.636,-4,3917.671,-2074.149,104.223,-0.034,0.046,2.109,24.365,23.448,3.962,-13.26,-11.337,-6.644,-3.417,-1.713,1.454,7.935,5.812,6.279,-15.578,-18.079,-22.908,-27.703,
294.682,82126.703,0.971,9.947,48.031,50.636,-4,3917.671,-2074.149,104.223,-0.034,0.046,2.109,23.824,23.448,3.319,-13.782,-11.553,-7.371,-4.378,-2.141,0.224,8.457,5.917,6.172,-15.16,-18.184,-23.219,-27.14,
294.774,82175.719,0.971,9.933,47.909,50.58,-4,3917.671,-2074.149,104.223,-0.034,0.045,2.109,24.365,22.778,3.319,-13.26,-11.769,-7.267,-4.165,-1.713,1.678,8.666,6.023,6.172,-14.428,-17.87,-23.012,-26.464,
294.705,82139.812,0.971,9.959,48.147,50.676,-4,3917.671,-2074.149,104.223,-0.034,0.046,2.109,23.824,23.448,2.998,-13.573,-11.769,-7.163,-4.699,-2.676,0.336,8.039,5.389,5.321,-15.892,-18.497,-23.115,-27.252,
294.705,82139.812,0.971,9.959,48.147,50.676,-4,3917.671,-2074.149,104.223,-0.034,0.046,2.109,23.932,22.555,2.891,-14.2,-11.769,-7.268,-4.805,-2.997,1.342,7.726,5.812,5.427,-15.474,-17.661,-22.182,-26.577,
294.855,82216.719,0.971,9.93,47.892,50.695,-4,3917.671,-2074.149,104.223,-0.033,0.046,2.109,24.907,22.778,3.748,-13.469,-11.445,-7.787,-4.058,-2.034,2.013,8.144,7.291,6.172,-14.114,-17.139,-22.079,-27.14,
294.82,82196.312,0.971,9.953,48.104,50.754,-4,3917.671,-2074.149,-104.296,-0.033,0.045,2.109,25.123,22.89,3.212,-13.782,-11.985,-7.579,-4.805,-2.355,1.454,7.204,5.812,5.427,-14.637,-19.02,-22.908,-29.054,
294.785,82178.555,0.971,9.931,47.892,50.611,-4,3917.671,-2074.149,104.223,-0.033,0.045,2.109,23.607,21.773,3.212,-14.304,-12.201,-8.721,-4.271,-3.104,1.566,7.517,6.129,4.47,-13.278,-19.333,-23.012,-28.378,
294.715,82143.883,0.971,9.947,47.892,50.611,-4,3917.671,-2074.149,-8.528,-0.034,0.046,2.109,24.474,23.225,3.534,-13.155,-11.553,-7.164,-4.485,-1.82,1.678,8.352,6.551,5.427,-11.187,-18.079,-23.322,-27.703,
